bead_id,captured_at_utc,exit_code,outcome,duration_ms,model,agent,trace_events,trace_bytes,dir_bytes,timeout_reason,pruned,stderr_oom,stderr_signal
domchk-268bfe68,2026-09-02T08:43:09.583426209Z,0,success,1000951,glm-4.7,claude-code-glm-4.7,14,8947,1092034,,False,,
domchk-26c9bd29,2026-09-01T19:00:02.360196121Z,0,success,1337098,glm-4.7,claude-code-glm-4.7,84,45084,3142789,,False,,
domchk-26ccd69b,2026-09-07T14:40:53.509442096Z,0,success,1695038,glm-5.3-flash,claude-code-glm-5.3-flash,87,49740,12325502,,False,,
domchk-26d99b92,2026-09-01T22:32:56.053745532Z,1,failure,447029,glm-4.7,claude-code-glm-4.7,39,28842,2077082,,False,,
domchk-274931b6,2026-08-25T15:21:06.742137870Z,0,success,138236,glm-4.7,claude-code-glm-4.7,43,22326,2217728,,False,,
domchk-27d451e9,2026-09-07T07:29:38.867101504Z,0,success,916932,glm-5.3-flash,claude-code-glm-5.3-flash,0,0,7820691,,False,,
domchk-27eff5ca,2026-09-02T02:08:25.204531749Z,0,success,251814,glm-4.7,claude-code-glm-4.7,21,8449,950960,,False,,
domchk-28b9a6e1,2026-09-02T20:16:07.051053123Z,0,success,148585,glm-4.7,claude-code-glm-4.7,21,13604,2261662,,False,,
domchk-28e40fc1,2026-09-02T05:16:06.746642736Z,0,success,374225,glm-4.7,claude-code-glm-4.7,34,14779,1740775,,False,,
domchk-29311899,2026-09-07T05:13:27.002277022Z,0,success,2154392,glm-5.3-flash,claude-code-glm-5.3-flash,86,51216,8037136,,False,,
domchk-29372d13,2026-09-02T00:20:47.570820945Z,0,success,1508521,glm-4.7,claude-code-glm-4.7,41,18223,2047051,,False,,
domchk-29af544b,2026-09-07T14:35:03.228898225Z,0,success,1413758,glm-5.3-flash,claude-code-glm-5.3-flash,76,70006,11978499,,False,,
domchk-29c8f282,2026-09-06T22:13:42.219404677Z,0,success,141569,glm-5.3-flash,claude-code-glm-5.3-flash,18,7644,682405,,False,,
domchk-29d5446c,2026-09-01T16:26:37.414695564Z,0,success,346397,glm-4.7,claude-code-glm-4.7,72,31863,2718560,,False,,
domchk-2a28452d,2026-09-07T09:01:41.433220476Z,0,success,1833253,glm-5.3-flash,claude-code-glm-5.3-flash,82,53641,8832846,,False,,
domchk-2a2ba616,2026-09-06T20:28:29.551109356Z,0,success,1502965,glm-5.3-flash,claude-code-glm-5.3-flash,58,33588,7277238,,False,,
domchk-2a468cef,2026-09-01T15:47:20.392661578Z,0,success,357423,glm-4.7,claude-code-glm-4.7,33,14350,1922343,,False,,
domchk-2a47c24e,2026-09-02T20:08:12.969560341Z,0,success,800987,glm-4.7,claude-code-glm-4.7,59,32402,5293559,,False,,
domchk-2a4e7801,2026-09-06T22:11:50.433029223Z,0,success,380147,glm-5.3-flash,claude-code-glm-5.3-flash,36,18711,1803746,,False,,
domchk-2a558df4,2026-09-02T06:30:18.608624045Z,0,success,753645,glm-4.7,claude-code-glm-4.7,39,19374,1783381,,False,,
domchk-2ab71440,2026-09-02T10:13:53.004503224Z,0,success,342821,glm-4.7,claude-code-glm-4.7,60,30432,2341206,,False,,
domchk-2ac1cfae,2026-09-02T08:01:36.128125342Z,0,success,179896,glm-4.7,claude-code-glm-4.7,44,26282,1933073,,False,,
domchk-2b4c56fb,2026-08-25T15:33:45.174841092Z,0,success,46373,glm-4.7,claude-code-glm-4.7,17,4498,559300,,False,,
domchk-2b5ed3d3,2026-09-06T10:50:06.572141434Z,0,success,798296,glm-5.3-flash,claude-code-glm-5.3-flash,39,22137,4174461,,False,,
